R,E,G
5,50,99.31
5,51,99.38
5,52,99.42
5,53,99.48
5,54,99.6
5,55,99.74
5,56,99.76
5,57,99.79
5,58,99.81
5,59,99.84
5,60,99.87
5,61,99.93
5,62,99.93
5,63,99.93
5,64,99.94
5,65,99.94
5,66,99.95
5,67,99.96
5,68,99.96
5,69,99.96
5,70,99.96
5,71,99.97
5,72,99.97
5,73,99.97
5,74,99.97
5,75,99.97
5,76,99.97
5,77,99.97
5,78,99.97
5,79,99.98
5,80,99.98
5,81,99.98
5,82,99.98
5,83,99.98
5,84,99.98
5,85,99.98
5,86,99.98
5,87,99.98
5,88,99.98
5,89,99.98
5,90,99.98
5,91,99.98
5,92,99.98
5,93,99.98
5,94,99.98
5,95,99.98
5,96,99.98
5,97,99.98
5,98,99.98
5,99,99.98
5,100,99.98
4,1,2.55
4,2,2.55
4,3,2.62
4,4,2.62
4,5,2.62
4,6,2.75
4,7,3.23
4,8,4.29
4,9,6.17
4,10,9.39
4,11,13.45
4,12,18.21
4,13,35.23
4,14,37.73
4,15,39.95
4,16,44.27
4,17,48.39
4,18,52.84
4,19,60.19
4,20,65.23
4,21,70.85
4,22,75.22
4,23,79.71
4,24,81.8
4,25,86.88
4,26,87.87
4,27,88.75
4,28,89.67
4,29,90.78
4,30,92.77
4,31,95.54
4,32,95.82
4,33,96.15
4,34,96.5
4,35,97.02
4,36,97.02
4,37,98.95
4,38,99.02
4,39,99.13
4,40,99.2
4,41,99.3
4,42,99.48
4,43,99.74
4,44,99.75
4,45,99.78
4,46,99.79
4,47,99.82
4,48,99.87
4,49,99.91
4,50,99.91
4,51,99.91
4,52,99.92
4,53,99.93
4,54,99.95
4,55,99.97
4,56,99.97
4,57,99.97
4,58,99.97
4,59,99.97
4,60,99.97
4,61,99.97
4,62,99.97
4,63,99.97
4,64,99.97
4,65,99.98
4,66,99.98
4,67,99.98
4,68,99.98
4,69,99.98
4,70,99.98
4,71,99.98
4,72,99.98
4,73,99.98
4,74,99.98
4,75,99.98
4,76,99.98
4,77,99.98
4,78,99.98
4,79,99.98
4,80,99.98
4,81,99.98
4,82,99.98
4,83,99.98
4,84,99.98
4,85,99.98
4,86,99.98
4,87,99.98
4,88,99.98
4,89,99.98
4,90,99.98
4,91,99.98
4,92,99.98
4,93,99.98
4,94,99.98
4,95,99.98
4,96,99.98
4,97,99.98
4,98,99.98
4,99,99.98
4,100,99.98
3,1,28.01
3,2,28.01
3,3,28.86
3,4,28.86
3,5,28.86
3,6,29.07
3,7,29.93
3,8,31.8
3,9,35.13
3,10,41.44
3,11,48.35
3,12,56.12
3,13,84.24
3,14,84.35
3,15,85.05
3,16,87.4
3,17,88.53
3,18,89.28
3,19,91.2
3,20,92.16
3,21,94.3
3,22,94.89
3,23,96.88
3,24,97.04
3,25,97.57
3,26,97.57
3,27,97.73
3,28,98.05
3,29,98.48
3,30,99.02
3,31,99.77
3,32,99.77
3,33,99.77
3,34,99.82
3,35,99.82
3,36,99.93
3,37,99.93
3,38,99.93
3,39,99.93
3,40,99.93
3,41,99.93
3,42,99.93
3,43,99.98
3,44,99.98
3,45,99.98
3,46,99.98
3,47,99.98
3,48,99.98
3,49,99.98
3,50,99.98
3,51,99.98
3,52,99.98
3,53,99.98
3,54,99.98
3,55,99.98
3,56,99.98
3,57,99.98
3,58,99.98
3,59,99.98
3,60,99.98
3,61,99.98
3,62,99.98
3,63,99.98
3,64,99.98
3,65,99.98
3,66,99.98
3,67,99.98
3,68,99.98
3,69,99.98
3,70,99.98
3,71,99.98
3,72,99.98
3,73,99.98
3,74,99.98
3,75,99.98
3,76,99.98
3,77,99.98
3,78,99.98
3,79,99.98
3,80,99.98
3,81,99.98
3,82,99.98
3,83,99.98
3,84,99.98
3,85,99.98
3,86,99.98
3,87,99.98
3,88,99.98
3,89,99.98
3,90,99.98
3,91,99.98
3,92,99.98
3,93,99.98
3,94,99.98
3,95,99.98
3,96,99.98
3,97,99.98
3,98,99.98
3,99,99.98
3,100,99.98
2,1,93.06
2,2,93.06
2,3,95.37
2,4,95.37
2,5,95.37
2,6,95.37
2,7,95.37
2,8,95.37
2,9,95.37
2,10,97.69
2,11,97.69
2,12,97.69
2,13,97.69
2,14,97.69
2,15,97.69
2,16,97.69
2,17,97.69
2,18,97.69
2,19,100.0
2,20,100.0
2,21,100.0
2,22,100.0
2,23,100.0
2,24,100.0
2,25,100.0
2,26,100.0
2,27,100.0
2,28,100.0
2,29,100.0
2,30,100.0
2,31,100.0
2,32,100.0
2,33,100.0
2,34,100.0
2,35,100.0
2,36,100.0
2,37,100.0
2,38,100.0
2,39,100.0
2,40,100.0
2,41,100.0
2,42,100.0
2,43,100.0
2,44,100.0
2,45,100.0
2,46,100.0
2,47,100.0
2,48,100.0
2,49,100.0
2,50,100.0
2,51,100.0
2,52,100.0
2,53,100.0
2,54,100.0
2,55,100.0
2,56,100.0
2,57,100.0
2,58,100.0
2,59,100.0
2,60,100.0
2,61,100.0
2,62,100.0
2,63,100.0
2,64,100.0
2,65,100.0
2,66,100.0
2,67,100.0
2,68,100.0
2,69,100.0
2,70,100.0
2,71,100.0
2,72,100.0
2,73,100.0
2,74,100.0
2,75,100.0
2,76,100.0
2,77,100.0
2,78,100.0
2,79,100.0
2,80,100.0
2,81,100.0
2,82,100.0
2,83,100.0
2,84,100.0
